timeslot_type1,timeslot_type2,mean_n_patients,mean_n_type1,mean_n_type2,mean_overtime_m0_min,std_overtime_m0_min,mean_overtime_m1_min,std_overtime_m1_min,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
31,42,564.51,354.53,209.98,0.5559999572639504,1.9110282501372748,10.28109607188979,17.28910447965083,10.83709602915374,17.20421184647461,1.40775720821729,0.3495469736245987,0.8588110564785925,0.01857992979181943,0.8399602771940792,0.20092562302858294,10.723226457512208,2.333883849497858,0.0015554819948038505,0.01985782677317075
29,42,564.51,354.53,209.98,0.8408855749458986,2.981277964950916,10.28109607188979,17.28910447965083,11.121981646835689,17.126359043597123,1.1601998684434254,0.2025873511238944,0.8588110564785925,0.01857992979181943,2.0772474124033873,0.4377044357986614,10.723226457512208,2.333883849497858,0.0038467544674136798,0.01985782677317075
31,43,564.51,354.53,209.98,0.5559999572639504,1.9110282501372748,12.575591254542914,18.937729496392826,13.131591211806866,18.80836281483955,1.40775720821729,0.3495469736245987,0.8672690128333721,0.018799530503650363,0.8399602771940792,0.20092562302858294,9.03572565492626,2.074035191514243,0.0015554819948038505,0.01673282528690048
29,43,564.51,354.53,209.98,0.8408855749458986,2.981277964950916,12.575591254542914,18.937729496392826,13.416476829488813,18.704481911167825,1.1601998684434254,0.2025873511238944,0.8672690128333721,0.018799530503650363,2.0772474124033873,0.4377044357986614,9.03572565492626,2.074035191514243,0.0038467544674136798,0.01673282528690048
31,39,564.51,354.53,209.98,0.5559999572639504,1.9110282501372748,14.095808502157034,20.522106709951156,14.651808459420984,20.693619282840597,1.40775720821729,0.3495469736245987,0.8308037749126579,0.015414724192251966,0.8399602771940792,0.20092562302858294,17.435614367956248,3.1758350190416187,0.0015554819948038505,0.032288174755474526
29,39,564.51,354.53,209.98,0.8408855749458986,2.981277964950916,14.095808502157034,20.522106709951156,14.936694077102931,20.577217764213803,1.1601998684434254,0.2025873511238944,0.8308037749126579,0.015414724192251966,2.0772474124033873,0.4377044357986614,17.435614367956248,3.1758350190416187,0.0038467544674136798,0.032288174755474526
31,36,564.51,354.53,209.98,0.5559999572639504,1.9110282501372748,15.064359040345284,23.76462808319152,15.620358997609236,23.92746006798438,1.40775720821729,0.3495469736245987,0.8048627387245189,0.014093293996301747,0.8399602771940792,0.20092562302858294,26.571336253691378,3.915631953980665,0.0015554819948038505,0.049206178247576615
31,40,564.51,354.53,209.98,0.5559999572639504,1.9110282501372748,15.246939833351902,21.316635592405948,15.802939790615854,21.46212287482265,1.40775720821729,0.3495469736245987,0.8392758736499847,0.015642339965968897,0.8399602771940792,0.20092562302858294,14.928466729541013,2.907064948123053,0.0015554819948038505,0.02764530875840928
29,36,564.51,354.53,209.98,0.8408855749458986,2.981277964950916,15.064359040345284,23.76462808319152,15.905244615291183,23.774734587983794,1.1601998684434254,0.2025873511238944,0.8048627387245189,0.014093293996301747,2.0772474124033873,0.4377044357986614,26.571336253691378,3.915631953980665,0.0038467544674136798,0.049206178247576615
29,40,564.51,354.53,209.98,0.8408855749458986,2.981277964950916,15.246939833351902,21.316635592405948,16.087825408297803,21.334320323583533,1.1601998684434254,0.2025873511238944,0.8392758736499847,0.015642339965968897,2.0772474124033873,0.4377044357986614,14.928466729541013,2.907064948123053,0.0038467544674136798,0.02764530875840928
