policy,timeslot_type1,timeslot_type2,replications,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min
flexible,32,64,1000,0.0,0.0,2.6726153818875846,0.3666435403891517,2.6755225532857376,0.3805046946268524,0.4302029155873511,0.12059548811789357,0.4043957403440363,0.12194405156460736
flexible,32,65,1000,0.0019886922869291083,0.06288797191905084,2.6979924976207834,0.3688302131750023,2.700138868672545,0.3830408862681557,0.4023998286890402,0.11311797609795349,0.3913062619260875,0.11768711271802688
flexible,33,64,1000,0.017986810761129162,0.1841395598194254,2.698126317650051,0.3680078501989182,2.7001797607916265,0.38250275209453877,0.3275883218858562,0.10197164588980491,0.30569388686407706,0.10402030848153512
flexible,32,66,1000,0.03611406323955771,0.3250007194855324,2.701848192907054,0.3687732930205325,2.7034102832729148,0.3829941908087693,0.379777115857543,0.10736823923087663,0.3726219695000481,0.1127374567927056
flexible,33,65,1000,0.11357614874082424,0.5720604824316907,2.7019860574527783,0.36795530018973427,2.703469347001264,0.3824538861372843,0.3054982681865761,0.0957423072577326,0.28648813388996,0.09831463941575355
flexible,30,61,1000,0.11947605002663977,1.0240572354704445,1.9986195404025457,0.331735214532293,1.997990457364564,0.34136845511766045,0.8795833130491839,0.20870493529777542,0.8587228839668637,0.19541044545702177
flexible,31,60,1000,0.23497036072839933,1.2127869831075486,1.9987188797171629,0.3337309946167295,1.9979360191828484,0.3433274849946974,0.7164248857578929,0.17997599295958527,0.6729558548932822,0.17565395470249562
flexible,32,67,1000,0.2465652400984511,1.1198719406849336,2.705703888193324,0.3687164691789164,2.706681697873285,0.3829475226775617,0.36066538537197784,0.10264533093481218,0.3570399478603918,0.1084252154210123
flexible,33,66,1000,0.42139991951795175,1.415613928257641,2.686823148477558,0.3666429359717333,2.687711865556926,0.380500046622658,0.2849862613237417,0.09082804747919455,0.2681827393223952,0.094520052206487
flexible,31,67,1000,0.5550195984614963,1.9694591383294395,2.672965613700594,0.36478599586473626,2.67437415208412,0.3783617330959556,0.4989341603172695,0.1278732649967891,0.4956115558317068,0.13105617263613517
